epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,53151.1,1.11505,0.72304,0.89221,0.72453,0.46275,0.48327,0.32051,1.10209,0.65621,0.87811,0.005842,0.005842,0.005842
44,54383.7,1.11639,0.72221,0.89265,0.7218,0.46456,0.48402,0.32114,1.1018,0.65551,0.87809,0.005743,0.005743,0.005743
45,55619.3,1.11191,0.71888,0.89206,0.7117,0.46714,0.48451,0.32116,1.10143,0.65487,0.87804,0.005644,0.005644,0.005644
46,56859.3,1.11446,0.7202,0.89221,0.72523,0.46322,0.48465,0.3212,1.10107,0.65428,0.87793,0.005545,0.005545,0.005545
47,58092.8,1.11001,0.71664,0.89125,0.72212,0.46503,0.48543,0.32217,1.10093,0.6538,0.87783,0.005446,0.005446,0.005446
48,59324.6,1.10909,0.71627,0.88976,0.73085,0.46114,0.4868,0.32313,1.10057,0.65315,0.87762,0.005347,0.005347,0.005347
49,60565.2,1.10793,0.71541,0.88957,0.73286,0.46005,0.48698,0.32329,1.10032,0.65289,0.87747,0.005248,0.005248,0.005248
50,61802.1,1.10702,0.7133,0.88958,0.73941,0.45701,0.48756,0.32366,1.10005,0.65258,0.87739,0.005149,0.005149,0.005149
51,63039,1.10651,0.71108,0.8899,0.74074,0.45751,0.48822,0.32457,1.0998,0.65214,0.87728,0.00505,0.00505,0.00505
52,64274.6,1.10675,0.71141,0.88878,0.74734,0.45584,0.48888,0.32449,1.09956,0.65164,0.87713,0.004951,0.004951,0.004951
53,65510.4,1.10407,0.70858,0.88847,0.74795,0.45455,0.4886,0.32485,1.09936,0.65084,0.87705,0.004852,0.004852,0.004852
54,66747.4,1.10569,0.70837,0.88862,0.74994,0.45249,0.48883,0.32471,1.0989,0.65014,0.8769,0.004753,0.004753,0.004753
55,67981.8,1.10405,0.70715,0.88911,0.75009,0.45191,0.48966,0.32543,1.09871,0.64971,0.87687,0.004654,0.004654,0.004654
56,69220.7,1.10418,0.70554,0.88849,0.74995,0.45201,0.49047,0.32592,1.09839,0.64917,0.87683,0.004555,0.004555,0.004555
57,70454.2,1.09943,0.70333,0.88721,0.75372,0.44756,0.49056,0.32578,1.09802,0.64867,0.87672,0.004456,0.004456,0.004456
58,71689,1.09899,0.70163,0.88727,0.75299,0.44574,0.4901,0.32557,1.09781,0.64824,0.87661,0.004357,0.004357,0.004357
59,72924.5,1.09702,0.70018,0.8869,0.74161,0.44876,0.49039,0.32587,1.09763,0.64781,0.87647,0.004258,0.004258,0.004258
60,74162.8,1.09824,0.69964,0.88685,0.74605,0.44882,0.49057,0.32589,1.09738,0.64722,0.87639,0.004159,0.004159,0.004159
61,75399.5,1.09465,0.69513,0.88598,0.74027,0.44796,0.49061,0.32564,1.09714,0.64665,0.87624,0.00406,0.00406,0.00406
62,76639.5,1.094,0.69476,0.88612,0.73058,0.4534,0.49146,0.32656,1.09693,0.6462,0.87625,0.003961,0.003961,0.003961
63,77879.8,1.09247,0.69257,0.88564,0.73592,0.44986,0.49181,0.3267,1.09684,0.64577,0.87612,0.003862,0.003862,0.003862
64,79115.1,1.09088,0.69112,0.88441,0.70757,0.46882,0.49261,0.32749,1.09681,0.6456,0.87597,0.003763,0.003763,0.003763
65,80351.9,1.08996,0.69117,0.88442,0.73965,0.44911,0.49324,0.32789,1.09667,0.64524,0.8759,0.003664,0.003664,0.003664
66,81593.8,1.08724,0.68683,0.88416,0.70792,0.4725,0.49349,0.32829,1.09644,0.64479,0.87584,0.003565,0.003565,0.003565
67,82833.7,1.08751,0.68524,0.88362,0.71635,0.46696,0.49385,0.32851,1.09626,0.64466,0.87586,0.003466,0.003466,0.003466
68,84071.7,1.08315,0.68164,0.88424,0.71634,0.46705,0.49413,0.32847,1.09605,0.64453,0.87587,0.003367,0.003367,0.003367
69,85313.7,1.08376,0.68191,0.88406,0.71423,0.46925,0.4942,0.32871,1.09589,0.6444,0.87585,0.003268,0.003268,0.003268
70,86553.5,1.08296,0.67881,0.88306,0.7008,0.48004,0.49517,0.32931,1.09576,0.6442,0.87583,0.003169,0.003169,0.003169
71,87792.3,1.07921,0.67577,0.88171,0.6043,0.4764,0.49503,0.32916,1.09554,0.64407,0.87578,0.00307,0.00307,0.00307
72,89026.1,1.07951,0.67555,0.88262,0.60346,0.47685,0.49466,0.32894,1.0953,0.64384,0.87576,0.002971,0.002971,0.002971
73,90263.4,1.07692,0.67236,0.88119,0.5963,0.48212,0.49526,0.32921,1.09521,0.64367,0.87566,0.002872,0.002872,0.002872
74,91500.9,1.07512,0.67015,0.88082,0.59668,0.47989,0.49512,0.32915,1.09524,0.64372,0.87561,0.002773,0.002773,0.002773
75,92738.4,1.07401,0.66728,0.88107,0.60081,0.47651,0.49477,0.32939,1.09511,0.64357,0.87559,0.002674,0.002674,0.002674
