epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,53129.6,1.11581,0.68079,0.89328,0.7509,0.68369,0.74104,0.43957,1.10347,0.62071,0.87955,0.005842,0.005842,0.005842
44,54356.8,1.11666,0.67946,0.89307,0.7495,0.68502,0.74126,0.43983,1.10288,0.61998,0.87935,0.005743,0.005743,0.005743
45,55591.1,1.1123,0.67666,0.89233,0.75106,0.6845,0.74178,0.44003,1.10229,0.61944,0.87908,0.005644,0.005644,0.005644
46,56830.9,1.11427,0.67741,0.89258,0.75212,0.68449,0.7423,0.44038,1.10177,0.61877,0.87889,0.005545,0.005545,0.005545
47,58074.8,1.10978,0.67421,0.89215,0.7525,0.68424,0.74277,0.44077,1.10119,0.6182,0.87873,0.005446,0.005446,0.005446
48,59313.9,1.10952,0.67474,0.89015,0.75199,0.6845,0.74275,0.44083,1.10061,0.61767,0.87847,0.005347,0.005347,0.005347
49,60545.4,1.10831,0.6735,0.89022,0.75129,0.6857,0.74359,0.44125,1.10015,0.61722,0.8782,0.005248,0.005248,0.005248
50,61777,1.10744,0.67152,0.89059,0.75062,0.68607,0.74379,0.44152,1.09989,0.61669,0.87805,0.005149,0.005149,0.005149
51,63010.1,1.10616,0.66996,0.88933,0.75148,0.68593,0.74396,0.44169,1.09971,0.61611,0.87789,0.00505,0.00505,0.00505
52,64247.6,1.1067,0.67121,0.88999,0.75239,0.68579,0.74441,0.44208,1.09934,0.61561,0.87775,0.004951,0.004951,0.004951
53,65476.9,1.10431,0.66882,0.88881,0.75307,0.68582,0.7449,0.44215,1.09901,0.61508,0.8776,0.004852,0.004852,0.004852
54,66710.6,1.10546,0.66739,0.88934,0.75408,0.68527,0.74516,0.44244,1.09884,0.61472,0.87753,0.004753,0.004753,0.004753
55,67956.4,1.10417,0.6666,0.88932,0.75483,0.68513,0.74555,0.44269,1.09868,0.61422,0.87742,0.004654,0.004654,0.004654
56,69190.3,1.10542,0.66606,0.88876,0.75682,0.6845,0.74602,0.44307,1.09839,0.61376,0.87731,0.004555,0.004555,0.004555
57,70423.5,1.10035,0.66426,0.88714,0.75573,0.68535,0.74626,0.44329,1.09816,0.61327,0.87721,0.004456,0.004456,0.004456
58,71658.8,1.09873,0.66259,0.88784,0.75439,0.6865,0.74637,0.44348,1.09796,0.61281,0.87716,0.004357,0.004357,0.004357
59,72897.3,1.09763,0.66091,0.88846,0.756,0.68557,0.74681,0.44375,1.09802,0.61255,0.87722,0.004258,0.004258,0.004258
60,74132,1.0981,0.66025,0.88783,0.75583,0.68648,0.74744,0.44393,1.0978,0.6122,0.87709,0.004159,0.004159,0.004159
61,75377.9,1.09495,0.65627,0.88644,0.75544,0.68671,0.74794,0.44419,1.09748,0.61176,0.87697,0.00406,0.00406,0.00406
62,76606,1.09462,0.65558,0.88632,0.75614,0.68695,0.74812,0.44444,1.09714,0.61129,0.87685,0.003961,0.003961,0.003961
63,77840.1,1.0922,0.65408,0.88648,0.75671,0.68707,0.74831,0.44448,1.09683,0.61085,0.87676,0.003862,0.003862,0.003862
64,79092.8,1.09128,0.65249,0.88532,0.75566,0.68866,0.74876,0.44471,1.09649,0.61053,0.87657,0.003763,0.003763,0.003763
65,80326.9,1.0905,0.65188,0.8838,0.7561,0.68835,0.74884,0.44484,1.09637,0.61012,0.87642,0.003664,0.003664,0.003664
66,81557.7,1.08815,0.64925,0.88406,0.75594,0.68857,0.74886,0.44511,1.09616,0.60979,0.8763,0.003565,0.003565,0.003565
67,82802.2,1.08783,0.64736,0.88452,0.75554,0.68932,0.74934,0.44525,1.09609,0.60948,0.87624,0.003466,0.003466,0.003466
68,84048.2,1.08298,0.6432,0.88396,0.75654,0.68922,0.74969,0.44556,1.09573,0.60911,0.87612,0.003367,0.003367,0.003367
69,85289.5,1.08383,0.64421,0.88421,0.75692,0.68876,0.74987,0.44572,1.09543,0.60855,0.876,0.003268,0.003268,0.003268
70,86526.2,1.08362,0.64218,0.88343,0.75577,0.68971,0.75022,0.44585,1.09502,0.60826,0.87594,0.003169,0.003169,0.003169
71,87776.2,1.07939,0.63994,0.88258,0.75823,0.68846,0.75071,0.44618,1.09493,0.60802,0.87597,0.00307,0.00307,0.00307
72,89008.9,1.07952,0.63895,0.88188,0.75806,0.68883,0.75097,0.44632,1.09484,0.6078,0.87581,0.002971,0.002971,0.002971
73,90239.8,1.07789,0.63678,0.88131,0.7578,0.68951,0.75131,0.44653,1.09471,0.60753,0.87567,0.002872,0.002872,0.002872
74,91476.2,1.07541,0.63388,0.88168,0.75848,0.68959,0.75163,0.44663,1.09439,0.60712,0.87552,0.002773,0.002773,0.002773
75,92715.1,1.07448,0.6316,0.88032,0.75842,0.68984,0.75189,0.44699,1.09427,0.60678,0.87541,0.002674,0.002674,0.002674
76,93952.9,1.06876,0.62962,0.87921,0.75836,0.69003,0.7524,0.44715,1.09414,0.60638,0.87525,0.002575,0.002575,0.002575
77,95184,1.07112,0.62843,0.88036,0.75856,0.69041,0.7527,0.44748,1.09405,0.6059,0.87526,0.002476,0.002476,0.002476
