epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,25609.1,1.17576,0.66534,0.95032,0.74,0.50981,0.56197,0.32548,1.16675,0.60411,0.94025,0.005842,0.005842,0.005842
44,26205.1,1.17647,0.664,0.94984,0.73543,0.51261,0.56219,0.32599,1.1664,0.60371,0.9401,0.005743,0.005743,0.005743
45,26804.5,1.17411,0.66302,0.94973,0.7379,0.51229,0.56289,0.32608,1.16601,0.60329,0.93999,0.005644,0.005644,0.005644
46,27397.7,1.17337,0.66153,0.94941,0.73891,0.51207,0.56405,0.3266,1.16577,0.60276,0.93984,0.005545,0.005545,0.005545
47,27994.8,1.17072,0.6599,0.94886,0.73808,0.51308,0.56429,0.32669,1.16524,0.60231,0.93957,0.005446,0.005446,0.005446
48,28589.1,1.1691,0.65827,0.94811,0.73856,0.51476,0.5645,0.32754,1.16486,0.60183,0.93936,0.005347,0.005347,0.005347
49,29179.6,1.16968,0.65854,0.94886,0.73847,0.51454,0.56576,0.32796,1.16458,0.60141,0.93923,0.005248,0.005248,0.005248
50,29778.2,1.16866,0.65621,0.94813,0.74284,0.5133,0.56654,0.32853,1.16433,0.60093,0.93912,0.005149,0.005149,0.005149
51,30366.4,1.16687,0.65507,0.94895,0.74314,0.51314,0.56662,0.3292,1.16419,0.60059,0.93914,0.00505,0.00505,0.00505
52,30961.6,inf,0.65401,0.94845,0.74195,0.51386,0.56739,0.32956,1.16383,0.60019,0.93903,0.004951,0.004951,0.004951
53,31550.8,1.16442,0.6541,0.94675,0.73854,0.51632,0.56753,0.32975,1.16367,0.59976,0.93891,0.004852,0.004852,0.004852
54,32136.1,1.16317,0.65074,0.94486,0.73862,0.51637,0.56754,0.32968,1.16335,0.59944,0.93858,0.004753,0.004753,0.004753
55,32736,1.16439,0.65187,0.94525,0.73933,0.5169,0.56826,0.32988,1.163,0.59906,0.93829,0.004654,0.004654,0.004654
56,33325.4,1.16164,0.6492,0.94555,0.64193,0.51667,0.56833,0.32996,1.16288,0.59872,0.93821,0.004555,0.004555,0.004555
57,33929.4,1.16088,0.64687,0.94551,0.64014,0.51496,0.56832,0.32991,1.1627,0.59839,0.93817,0.004456,0.004456,0.004456
58,34529.1,1.15889,0.64577,0.94555,0.64173,0.5152,0.56834,0.33021,1.16238,0.59808,0.93807,0.004357,0.004357,0.004357
59,35132.5,1.15814,0.64528,0.94464,0.64649,0.51243,0.56881,0.33067,1.16213,0.59767,0.93796,0.004258,0.004258,0.004258
60,35722.6,1.15832,0.64452,0.94392,0.64437,0.51465,0.56941,0.33064,1.16197,0.59717,0.93784,0.004159,0.004159,0.004159
61,36322.1,1.15546,0.64269,0.94341,0.64263,0.51711,0.57011,0.33114,1.16169,0.5967,0.93771,0.00406,0.00406,0.00406
62,36907.1,1.15489,0.64119,0.94321,0.64043,0.51767,0.57093,0.33149,1.1614,0.59643,0.93757,0.003961,0.003961,0.003961
63,37488.3,1.15402,0.63974,0.94199,0.64101,0.51742,0.5701,0.33158,1.16119,0.59607,0.93743,0.003862,0.003862,0.003862
64,38068.1,1.1511,0.63736,0.94071,0.64161,0.51604,0.57073,0.33177,1.16083,0.59581,0.93717,0.003763,0.003763,0.003763
65,38653.2,1.15097,0.63654,0.94082,0.6421,0.51579,0.57085,0.33193,1.16057,0.5954,0.93704,0.003664,0.003664,0.003664
66,39237.3,1.14765,0.63466,0.94028,0.64567,0.51436,0.57091,0.33209,1.16026,0.59509,0.93679,0.003565,0.003565,0.003565
67,39822.4,1.14734,0.63308,0.94073,0.64436,0.51506,0.57116,0.33238,1.16004,0.59481,0.93675,0.003466,0.003466,0.003466
68,40419.1,1.14581,0.63149,0.94039,0.64406,0.51499,0.5718,0.3324,1.15974,0.59469,0.93663,0.003367,0.003367,0.003367
69,41010.1,1.14656,0.63023,0.93978,0.64144,0.5172,0.57267,0.33319,1.15961,0.59427,0.93649,0.003268,0.003268,0.003268
70,41597.4,1.14328,0.62782,0.93863,0.63555,0.51982,0.57276,0.33335,1.15941,0.594,0.93627,0.003169,0.003169,0.003169
71,42179.8,1.14199,0.62675,0.9376,0.63651,0.52045,0.57325,0.33357,1.15922,0.59365,0.93599,0.00307,0.00307,0.00307
72,42775.2,1.14022,0.62374,0.93684,0.63539,0.52268,0.5738,0.33383,1.15889,0.5933,0.93577,0.002971,0.002971,0.002971
73,43368.6,1.13776,0.6219,0.93745,0.64151,0.5198,0.57459,0.33445,1.1586,0.5929,0.93565,0.002872,0.002872,0.002872
74,43958.1,1.13801,0.62125,0.9368,0.64299,0.51889,0.57528,0.33465,1.15836,0.59278,0.93557,0.002773,0.002773,0.002773
75,44542.6,1.13619,0.62028,0.93542,0.64808,0.51795,0.57559,0.33483,1.15822,0.59249,0.93541,0.002674,0.002674,0.002674
76,45121.9,1.1347,0.61731,0.93589,0.64524,0.51975,0.57611,0.33495,1.15807,0.59222,0.93531,0.002575,0.002575,0.002575
77,45723.1,1.13339,0.61569,0.93507,0.64678,0.51952,0.57614,0.33487,1.158,0.59209,0.93515,0.002476,0.002476,0.002476
78,46331,1.13261,0.61342,0.93479,0.64696,0.51894,0.57627,0.33519,1.15764,0.59185,0.93499,0.002377,0.002377,0.002377
79,46936.3,1.1312,0.61255,0.93437,0.64569,0.51904,0.57628,0.33522,1.15745,0.59154,0.93493,0.002278,0.002278,0.002278
80,47542,1.1282,0.60983,0.93329,0.64658,0.52009,0.57663,0.33512,1.15738,0.59142,0.93485,0.002179,0.002179,0.002179
81,48130.2,1.12537,0.60613,0.93145,0.64269,0.52219,0.57628,0.33527,1.15722,0.59125,0.93466,0.00208,0.00208,0.00208
82,48726.8,1.12372,0.60469,0.93259,0.64381,0.52081,0.57601,0.33533,1.15714,0.5911,0.93461,0.001981,0.001981,0.001981
83,49327.8,1.12202,0.60207,0.93199,0.64399,0.52081,0.57625,0.33516,1.1571,0.59116,0.93461,0.001882,0.001882,0.001882
84,49925.5,1.12109,0.6008,0.93066,0.64157,0.52207,0.57644,0.3354,1.15704,0.59093,0.93444,0.001783,0.001783,0.001783
85,50514.2,1.11934,0.59861,0.93017,0.64294,0.52143,0.57623,0.33531,1.1569,0.59076,0.93426,0.001684,0.001684,0.001684
86,51110.4,1.11698,0.59573,0.92901,0.64097,0.52255,0.57658,0.33551,1.15684,0.5906,0.93412,0.001585,0.001585,0.001585
87,51710,1.11268,0.59174,0.92768,0.63961,0.5252,0.57665,0.33555,1.15675,0.59065,0.93396,0.001486,0.001486,0.001486
88,52305.4,1.11139,0.58929,0.92732,0.63995,0.52466,0.57675,0.33562,1.15689,0.59051,0.93391,0.001387,0.001387,0.001387
89,52892,1.11089,0.58795,0.92767,0.64073,0.52462,0.5766,0.33561,1.15704,0.5904,0.93393,0.001288,0.001288,0.001288
90,53477.1,1.10667,0.58445,0.92599,0.64339,0.52289,0.5771,0.33566,1.15719,0.59051,0.93391,0.001189,0.001189,0.001189
91,54053.2,1.15637,0.59312,0.93222,0.64551,0.52254,0.57734,0.33572,1.15733,0.59058,0.93393,0.00109,0.00109,0.00109
92,54634.1,1.15381,0.5884,0.93158,0.64345,0.52215,0.57757,0.33568,1.15756,0.59086,0.93416,0.000991,0.000991,0.000991
93,55213.4,1.15034,0.58519,0.92968,0.64599,0.52004,0.57691,0.33552,1.15801,0.59134,0.93425,0.000892,0.000892,0.000892
94,55791.8,1.14624,0.58051,0.92817,0.64177,0.52185,0.57622,0.33534,1.15824,0.59148,0.93423,0.000793,0.000793,0.000793
95,56380,1.144,0.57627,0.927,0.64327,0.52038,0.57595,0.33514,1.15859,0.59196,0.93421,0.000694,0.000694,0.000694
96,56963.6,1.14032,0.57299,0.92581,0.64247,0.52166,0.57599,0.33472,1.15905,0.59234,0.93432,0.000595,0.000595,0.000595
97,57550.2,1.13713,0.5689,0.92498,0.63962,0.52174,0.57522,0.33409,1.1595,0.59296,0.93441,0.000496,0.000496,0.000496
98,58137.5,1.1344,0.56436,0.92439,0.6295,0.52817,0.57541,0.33403,1.1599,0.59341,0.93446,0.000397,0.000397,0.000397
99,58728.4,1.13023,0.56045,0.92293,0.62314,0.53672,0.57493,0.33359,1.16059,0.59394,0.93455,0.000298,0.000298,0.000298
100,59318,1.12756,0.55779,0.92185,0.61439,0.53638,0.57387,0.33307,1.16119,0.59447,0.93467,0.000199,0.000199,0.000199
